day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
4;0;SQUID_INK;1928.0;22.0;;;;;1931;2;1932.0;20.0;;;1929.5;0.0
4;0;CROISSANTS;4296.0;129.0;;;;;4297;37;4298.0;92.0;;;4296.5;0.0
4;0;JAMS;6446.0;92.0;6445.0;107.0;;;6447;92;6448.0;107.0;;;6446.5;0.0
4;0;VOLCANIC_ROCK_VOUCHER_10000;34.0;21.0;;;;;35;21;;;;;34.5;0.0
4;0;KELP;2036.0;22.0;;;;;2040;22;;;;;2038.0;0.0
4;0;VOLCANIC_ROCK_VOUCHER_10250;2.0;21.0;;;;;3;21;;;;;2.5;0.0
4;0;DJEMBES;13372.0;24.0;13371.0;39.0;;;13373;63;;;;;13372.5;0.0
4;0;VOLCANIC_ROCK_VOUCHER_10500;0.0;21.0;;;;;2;21;;;;;1.0;0.0
4;0;VOLCANIC_ROCK_VOUCHER_9750;186.0;21.0;;;;;187;21;;;;;186.5;0.0
4;0;PICNIC_BASKET1;58330.0;2.0;58329.0;19.0;58328.0;24.0;58339;2;58340.0;19.0;58341.0;24.0;58334.5;0.0
4;0;PICNIC_BASKET2;30129.0;21.0;30128.0;24.0;;;30134;2;30135.0;43.0;;;30131.5;0.0
4;0;VOLCANIC_ROCK_VOUCHER_9500;421.0;21.0;;;;;422;21;;;;;421.5;0.0
4;0;RAINFOREST_RESIN;9992.0;35.0;;;;;10008;35;;;;;10000.0;0.0
4;0;MAGNIFICENT_MACARONS;795.0;12.0;793.0;19.0;787.0;20.0;803;6;812.0;20.0;818.0;19.0;799.0;0.0
4;0;VOLCANIC_ROCK;9920.0;133.0;9919.0;47.0;;;9922;180;;;;;9921.0;0.0
4;100;VOLCANIC_ROCK_VOUCHER_9500;420.0;19.0;;;;;421;19;;;;;420.5;0.0
4;100;RAINFOREST_RESIN;9992.0;30.0;;;;;10008;30;;;;;10000.0;0.0
4;100;VOLCANIC_ROCK_VOUCHER_10250;2.0;19.0;;;;;3;19;;;;;2.5;-0.3464994430541992
4;100;SQUID_INK;1924.0;1.0;1923.0;27.0;;;1925;5;1927.0;28.0;;;1924.5;0.0
