timestamp,bidPrice,askPrice,transportFees,exportTariff,importTariff,sugarPrice,sunlightIndex,day
0,627.0,628.5,1.0,9.0,-3.0,200.0,60.0,1
100,630.0,631.5,1.0,9.0,-3.0,200.0984454,60.0,1
200,630.0,631.5,1.0,9.0,-3.0,200.1039148,60.0,1
300,632.0,633.5,1.0,9.0,-3.0,200.3524618,60.01,1
400,630.5,632.0,1.0,9.0,-3.0,200.2015446,60.01,1
500,634.0,635.5,1.0,9.0,-3.0,200.5331862,60.01,1
600,633.5,635.0,1.0,9.0,-3.0,200.5273365,60.02,1
700,632.5,634.0,1.0,9.0,-3.0,200.8403459,60.02,1
800,634.0,635.5,1.0,9.0,-3.0,200.9150882,60.02,1
900,632.5,634.0,1.0,9.0,-3.0,200.6624438,60.02,1
1000,633.0,634.5,1.0,9.0,-3.0,200.5044354,60.02,1
1100,634.5,636.0,1.0,9.0,-3.0,200.6643695,60.03,1
1200,634.5,636.0,1.0,9.0,-3.0,200.8335424,60.03,1
1300,632.5,634.0,1.0,9.5,-3.0,200.701769,60.03,1
1400,633.5,635.0,1.0,9.5,-3.0,200.9650645,60.04,1
1500,634.5,636.0,1.0,9.5,-3.0,200.9915366,60.04,1
1600,636.5,638.0,1.0,9.5,-3.0,201.226257,60.04,1
1700,641.5,643.0,1.0,9.5,-3.0,201.3688569,60.04,1
1800,643.0,644.5,1.0,9.5,-3.0,201.4394136,60.04,1
1900,642.5,644.0,1.0,9.5,-3.0,201.1060397,60.05,1
2000,644.0,645.5,1.0,9.5,-3.0,201.0934547,60.05,1
2100,643.5,645.0,1.0,9.5,-3.0,201.078263,60.05,1
2200,644.0,645.5,1.0,9.5,-3.0,200.8993863,60.06,1
2300,643.5,645.0,1.0,9.5,-3.0,200.804399,60.06,1
2400,646.0,647.5,1.0,9.5,-3.0,200.8253301,60.06,1
2500,650.5,652.0,1.0,9.5,-3.0,201.1971955,60.06,1
2600,652.5,654.0,1.0,9.5,-3.0,201.2758462,60.06,1
2700,652.5,654.0,1.0,9.5,-3.0,201.4289758,60.07,1
2800,656.0,657.5,1.0,9.5,-3.0,201.7071217,60.07,1
2900,660.0,661.5,1.0,9.5,-3.0,201.9814593,60.07,1
3000,655.0,656.5,1.0,9.5,-3.0,201.4816004,60.08,1
3100,655.0,656.5,1.0,9.5,-3.0,201.4333422,60.08,1
3200,656.5,658.0,1.0,9.5,-3.0,201.5124598,60.08,1
3300,659.0,660.5,1.0,9.5,-3.0,201.5831013,60.08,1
3400,663.0,664.5,1.0,9.5,-3.0,201.6993779,60.08,1
3500,665.0,666.5,1.0,9.5,-3.0,201.9533945,60.09,1
3600,664.5,666.0,1.0,9.5,-3.0,201.9074566,60.09,1
3700,667.0,668.5,1.0,9.5,-3.0,201.8901794,60.09,1
3800,665.0,666.5,1.0,9.5,-3.0,201.550519,60.1,1
3900,666.0,667.5,1.0,9.5,-3.0,201.553468,60.1,1
4000,671.5,673.0,1.0,9.5,-3.0,202.0029105,60.1,1
4100,673.5,675.0,1.0,9.5,-3.0,202.1259144,60.1,1
4200,673.0,674.5,1.0,9.5,-3.0,202.1702052,60.1,1
4300,670.0,671.5,1.0,9.5,-3.0,202.0088117,60.11,1
4400,673.0,674.5,1.0,9.5,-3.0,202.2724053,60.11,1
4500,671.0,672.5,1.0,9.5,-3.0,202.3126872,60.11,1
4600,671.0,672.5,1.0,9.5,-3.0,202.0938284,60.12,1
4700,672.5,674.0,1.0,9.5,-3.0,202.3337656,60.12,1
4800,672.5,674.0,1.0,9.5,-3.0,202.7305019,60.12,1
4900,672.5,674.5,1.0,9.5,-3.0,202.5743672,60.12,1
5000,669.0,670.5,1.0,9.5,-3.0,202.4911715,60.12,1
5100,668.5,670.0,1.0,9.5,-3.0,202.3493148,60.13,1
5200,668.5,670.0,1.0,9.5,-3.0,202.217117,60.13,1
5300,670.5,672.0,1.0,9.5,-3.0,202.3675461,60.13,1
5400,668.5,670.0,1.0,9.5,-3.0,202.338228,60.14,1
5500,668.5,670.0,1.0,9.5,-3.0,202.1885415,60.14,1
5600,671.0,672.5,1.0,9.5,-3.0,202.2403604,60.14,1
5700,670.0,671.5,1.0,9.5,-3.0,202.2203605,60.14,1
5800,669.0,670.5,1.0,9.5,-3.0,202.0049668,60.14,1
5900,671.0,672.5,1.0,9.5,-3.0,202.1532421,60.15,1
6000,669.5,671.0,1.0,9.5,-3.0,202.0633821,60.15,1
6100,670.5,672.0,1.0,9.5,-3.0,202.1118885,60.15,1
6200,669.5,671.0,1.0,9.5,-3.0,201.916647,60.16,1
6300,666.5,668.0,1.0,9.5,-3.0,201.9093124,60.16,1
6400,666.0,667.5,1.0,9.5,-3.0,201.8592995,60.16,1
6500,664.0,665.5,1.0,9.5,-3.0,201.8242527,60.16,1
6600,661.5,663.0,1.0,9.5,-3.0,201.7812087,60.16,1
6700,657.5,659.0,1.0,9.5,-3.0,201.7163404,60.17,1
6800,659.5,661.0,1.0,9.5,-3.0,202.0199588,60.17,1
6900,660.5,662.0,1.0,9.5,-3.0,202.1007339,60.17,1
7000,658.0,659.5,1.0,9.5,-3.0,202.1054599,60.18,1
7100,657.0,658.5,1.0,9.5,-3.0,201.953379,60.18,1
7200,654.5,656.0,1.0,9.5,-3.0,201.7121,60.18,1
7300,653.5,655.0,1.0,9.5,-3.0,201.6999451,60.18,1
7400,651.0,652.5,1.0,9.5,-3.0,201.60404,60.18,1
7500,653.0,654.5,1.0,9.5,-3.0,201.7535245,60.19,1
7600,651.5,653.0,1.0,9.5,-3.0,201.6761958,60.19,1
7700,651.5,653.0,1.0,9.5,-3.0,201.6195278,60.19,1
7800,652.0,653.5,1.0,9.5,-3.0,201.8175127,60.2,1
7900,649.0,650.5,1.0,9.5,-3.0,201.7441317,60.2,1
8000,645.5,647.0,1.0,9.5,-3.0,201.6919248,60.2,1
8100,648.0,649.5,1.0,9.5,-3.0,201.8282212,60.2,1
8200,643.5,645.0,1.0,9.5,-3.0,201.5566733,60.2,1
