timestamp,buyer,seller,symbol,currency,price,quantity
0,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_10500,SEASHELLS,2,15
0,SUBMISSION,,PICNIC_BASKET1,SEASHELLS,58339,2
0,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_10500,SEASHELLS,2,2
100,SUBMISSION,,PICNIC_BASKET1,SEASHELLS,58338,1
100,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_10500,SEASHELLS,2,18
100,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_10500,SEASHELLS,2,1
200,SUBMISSION,,PICNIC_BASKET1,SEASHELLS,58335,15
200,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_10500,SEASHELLS,2,15
200,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,34,15
300,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,33,13
300,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_10500,SEASHELLS,2,13
300,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_10500,SEASHELLS,2,1
300,SUBMISSION,,PICNIC_BASKET1,SEASHELLS,58343,1
300,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,33,1
400,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_10500,SEASHELLS,2,18
400,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,31,18
400,SUBMISSION,,PICNIC_BASKET1,SEASHELLS,58341,18
400,,SUBMISSION,KELP,SEASHELLS,2038,1
500,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,10003,6
500,SUBMISSION,,PICNIC_BASKET1,SEASHELLS,58340,19
500,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,33,11
500,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_10500,SEASHELLS,1,11
500,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_10500,SEASHELLS,1,19
600,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_10500,SEASHELLS,2,19
600,SUBMISSION,,PICNIC_BASKET1,SEASHELLS,58334,1
600,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_10500,SEASHELLS,2,1
700,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,36,11
700,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_10500,SEASHELLS,2,1
700,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_10500,SEASHELLS,2,11
700,SUBMISSION,,PICNIC_BASKET1,SEASHELLS,58330,1
700,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,36,1
700,,SUBMISSION,MAGNIFICENT_MACARONS,SEASHELLS,776,9
800,SUBMISSION,,PICNIC_BASKET1,SEASHELLS,58333,2
800,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_10500,SEASHELLS,2,16
800,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,33,16
900,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_10500,SEASHELLS,2,1
900,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_10500,SEASHELLS,2,11
1100,SUBMISSION,,KELP,SEASHELLS,2037,1
1100,,SUBMISSION,MAGNIFICENT_MACARONS,SEASHELLS,773,5
1100,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,33,17
1100,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,33,2
1100,SUBMISSION,,KELP,SEASHELLS,2037,2
1200,SUBMISSION,,KELP,SEASHELLS,2036,1
1300,SUBMISSION,,RAINFOREST_RESIN,SEASHELLS,9999,1
1300,,SUBMISSION,MAGNIFICENT_MACARONS,SEASHELLS,770,6
1400,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,33,2
1400,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,33,14
1500,SUBMISSION,,KELP,SEASHELLS,2036,4
1500,SUBMISSION,,RAINFOREST_RESIN,SEASHELLS,9998,4
1600,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,34,1
1600,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,34,20
1700,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,34,16
1700,SUBMISSION,,KELP,SEASHELLS,2036,2
1700,SUBMISSION,,RAINFOREST_RESIN,SEASHELLS,9993,2
1700,SUBMISSION,,RAINFOREST_RESIN,SEASHELLS,9997,6
1800,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,35,1
1800,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,35,16
1900,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,34,15
